University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Washington University in St. Louis,St. Louis,MO,53.0%,8.0%,7.0%,4.0%,18.0%,2.0%,8.0%,,
Wayland Baptist University,Plainview,TX,40.0%,30.0%,17.0%,4.0%,2.0%,3.0%,2.0%,1.0%,1.0%
American Academy of Dramatic Arts: West,Los Angeles,CA,41.0%,10.0%,7.0%,14.0%,1.0%,,25.0%,,
Oak Hills Christian College,Bemidji,MN,92.0%,,2.0%,,,,,4.0%,
University of Science and Arts of Oklahoma,Chickasha,OK,58.0%,10.0%,4.0%,10.0%,,,9.0%,7.0%,
Rogers State University,Claremore,OK,59.0%,3.0%,4.0%,21.0%,2.0%,1.0%,,11.0%,
Oklahoma State University,Stillwater,OK,69.0%,7.0%,5.0%,9.0%,2.0%,,4.0%,5.0%,
College of St. Benedict,St. Joseph,MN,78.0%,7.0%,3.0%,,6.0%,,4.0%,,
St. Catherine University,Saint Paul,MN,62.0%,8.0%,10.0%,3.0%,12.0%,4.0%,,,
Covenant College,Lookout Mountain,GA,86.0%,3.0%,3.0%,3.0%,1.0%,,3.0%,,
Concordia University Texas,Austin,TX,50.0%,22.0%,13.0%,,3.0%,11.0%,,,
Central Texas College,Killeen,TX,36.0%,23.0%,29.0%,,4.0%,3.0%,,2.0%,2.0%
College of the Mainland,Texas City,TX,45.0%,32.0%,19.0%,,2.0%,,,,
Oklahoma Wesleyan University,Bartlesville,OK,61.0%,7.0%,9.0%,,,10.0%,4.0%,8.0%,
Central Community College,Grand Island,NE,73.0%,22.0%,2.0%,,,,,,
Crowder College,Neosho,MO,79.0%,10.0%,2.0%,3.0%,2.0%,,1.0%,3.0%,
Amberton University,Garland,TX,48.0%,10.0%,26.0%,,12.0%,3.0%,,,
Sam Houston State University,Huntsville,TX,51.0%,22.0%,18.0%,3.0%,2.0%,2.0%,1.0%,,
Angelo State University,San Angelo,TX,50.0%,33.0%,8.0%,3.0%,,,4.0%,,
Schreiner University,Kerrville,TX,47.0%,36.0%,3.0%,2.0%,,9.0%,,,
Western Nebraska Community College,Scottsbluff,NE,64.0%,21.0%,3.0%,,,2.0%,8.0%,1.0%,
Simpson College,Indianola,IA,87.0%,3.0%,2.0%,2.0%,1.0%,5.0%,,,
South Dakota School of Mines and Technology,Rapid City,SD,84.0%,5.0%,2.0%,3.0%,1.0%,,3.0%,2.0%,
South Dakota State University,Brookings,SD,87.0%,2.0%,2.0%,2.0%,,,4.0%,,
Southeast Missouri State University,Cape Girardeau,MO,78.0%,2.0%,10.0%,,1.0%,,7.0%,,
Southeastern Louisiana University,Hammond,LA,63.0%,8.0%,20.0%,6.0%,,,2.0%,,
University of North Carolina at Wilmington,Wilmington,NC,78.0%,7.0%,5.0%,4.0%,2.0%,3.0%,,,
Wingate University,Wingate,NC,63.0%,4.0%,15.0%,7.0%,2.0%,5.0%,4.0%,,
Winston-Salem State University,Winston-Salem,NC,16.0%,3.0%,72.0%,4.0%,,2.0%,2.0%,,
Winthrop University,Rock Hill,SC,58.0%,5.0%,30.0%,4.0%,1.0%,,2.0%,,
Wofford College,Spartanburg,SC,81.0%,4.0%,8.0%,3.0%,2.0%,,2.0%,,
University of North Carolina at Greensboro,Greensboro,NC,51.0%,8.0%,28.0%,5.0%,5.0%,,2.0%,,
ECPI University,Virginia Beach,VA,41.0%,8.0%,41.0%,2.0%,3.0%,3.0%,,,
Colorado State University: Pueblo,Pueblo,CO,50.0%,32.0%,8.0%,4.0%,1.0%,2.0%,2.0%,,
Hope International University,Fullerton,CA,44.0%,25.0%,8.0%,13.0%,3.0%,6.0%,1.0%,,
Fresno Pacific University,Fresno,CA,46.0%,28.0%,8.0%,1.0%,7.0%,6.0%,,2.0%,
Pitzer College,Claremont,CA,46.0%,15.0%,5.0%,10.0%,9.0%,6.0%,9.0%,,
Wilmington University,New Castle,DE,55.0%,4.0%,27.0%,,2.0%,9.0%,2.0%,2.0%,
Wayne Community College,Goldsboro,NC,61.0%,9.0%,23.0%,,2.0%,1.0%,,,
University of the District of Columbia,Washington,DC,6.0%,,54.0%,,3.0%,37.0%,,,
Wilson Community College,Wilson,NC,45.0%,10.0%,38.0%,5.0%,,,,,
American University,Washington,DC,59.0%,13.0%,7.0%,5.0%,7.0%,3.0%,7.0%,,
Abilene Christian University,Abilene,TX,64.0%,16.0%,9.0%,5.0%,1.0%,,4.0%,,
Texas A&M University,College Station,TX,63.0%,23.0%,3.0%,3.0%,6.0%,,1.0%,,
University of Arkansas at Pine Bluff,Pine Bluff,AR,4.0%,1.0%,92.0%,,,,1.0%,,
Alvin Community College,Alvin,TX,71.0%,4.0%,13.0%,,6.0%,2.0%,1.0%,3.0%,
Cowley County Community College,Arkansas City,KS,71.0%,10.0%,11.0%,5.0%,2.0%,1.0%,,1.0%,
Lyon College,Batesville,AR,73.0%,8.0%,6.0%,,2.0%,6.0%,3.0%,2.0%,
Arkansas Tech University,Russellville,AR,76.0%,6.0%,9.0%,3.0%,1.0%,,4.0%,,
Southeastern Oklahoma State University,Durant,OK,54.0%,6.0%,6.0%,,,3.0%,,30.0%,
Southwestern University,Georgetown,TX,62.0%,21.0%,6.0%,4.0%,4.0%,1.0%,2.0%,,
Bemidji State University,Bemidji,MN,84.0%,3.0%,2.0%,4.0%,1.0%,2.0%,2.0%,3.0%,
Minnesota State University Moorhead,Moorhead,MN,78.0%,3.0%,3.0%,3.0%,1.0%,5.0%,7.0%,,
Saint Cloud State University,St. Cloud,MN,73.0%,3.0%,7.0%,3.0%,6.0%,,7.0%,,
Winona State University,Winona,MN,86.0%,3.0%,3.0%,2.0%,2.0%,,3.0%,,
University of Iowa,Iowa City,IA,69.0%,8.0%,3.0%,3.0%,4.0%,2.0%,11.0%,,
Stephen F. Austin State University,Nacogdoches,TX,58.0%,18.0%,18.0%,3.0%,1.0%,,,,
Stephens College,Columbia,MO,69.0%,4.0%,13.0%,6.0%,2.0%,4.0%,,1.0%,
Sterling College,Sterling,KS,68.0%,13.0%,12.0%,,1.0%,,2.0%,4.0%,
Sul Ross State University,Alpine,TX,33.0%,52.0%,10.0%,3.0%,,,,,
University of Texas Southwestern Medical Center at Dallas,Dallas,TX,32.0%,18.0%,22.0%,,8.0%,17.0%,3.0%,,
College of Visual Arts,Saint Paul,MN,84.0%,3.0%,3.0%,3.0%,5.0%,,,1.0%,
St. Joseph Seminary College,St. Benedict,LA,62.0%,34.0%,2.0%,,,,,,3.0%
University of West Georgia,Carrollton,GA,49.0%,5.0%,38.0%,4.0%,1.0%,1.0%,1.0%,,
West Liberty University,West Liberty,WV,79.0%,,4.0%,1.0%,,12.0%,2.0%,,
West Virginia University Institute of Technology,Montgomery,WV,77.0%,3.0%,6.0%,3.0%,,3.0%,7.0%,,
West Virginia State University,Institute,WV,64.0%,1.0%,15.0%,9.0%,,9.0%,1.0%,,
West Virginia University,Morgantown,WV,79.0%,4.0%,5.0%,4.0%,2.0%,,6.0%,,
West Virginia Wesleyan College,Buckhannon,WV,79.0%,3.0%,8.0%,4.0%,,,6.0%,,
Kansas City Art Institute,Kansas City,MO,62.0%,7.0%,6.0%,11.0%,3.0%,9.0%,,,
Calvary Bible College and Theological Seminary,Kansas City,MO,79.0%,2.0%,10.0%,5.0%,3.0%,,,1.0%,
Kansas City Kansas Community College,Kansas City,KS,45.0%,17.0%,24.0%,5.0%,3.0%,2.0%,4.0%,,
Kansas State University,Manhattan,KS,78.0%,7.0%,4.0%,3.0%,1.0%,1.0%,5.0%,,
Grambling State University,Grambling,LA,1.0%,1.0%,91.0%,1.0%,,,5.0%,,
Grand View University,Des Moines,IA,70.0%,4.0%,8.0%,4.0%,3.0%,8.0%,2.0%,,
Grinnell College,Grinnell,IA,52.0%,8.0%,6.0%,5.0%,8.0%,4.0%,18.0%,,
Gustavus Adolphus College,St. Peter,MN,79.0%,5.0%,2.0%,4.0%,4.0%,,5.0%,,
Galveston College,Galveston,TX,41.0%,36.0%,16.0%,,,2.0%,1.0%,2.0%,
Haskell Indian Nations University,Lawrence,KS,,,,,,,,100.0%,
Hamline University,St. Paul,MN,70.0%,8.0%,6.0%,7.0%,6.0%,2.0%,,,
Hannibal-LaGrange University,Hannibal,MO,84.0%,2.0%,5.0%,2.0%,,,6.0%,,
Harding University,Searcy,AR,82.0%,3.0%,4.0%,2.0%,,,6.0%,,
Hardin-Simmons University,Abilene,TX,69.0%,17.0%,7.0%,4.0%,1.0%,1.0%,1.0%,,
Harris-Stowe State University,St. Louis,MO,6.0%,3.0%,80.0%,2.0%,,7.0%,,,
Hastings College,Hastings,NE,83.0%,6.0%,3.0%,3.0%,1.0%,,2.0%,,
University of Mary Hardin-Baylor,Belton,TX,57.0%,21.0%,15.0%,3.0%,2.0%,,1.0%,,
University of Texas of the Permian Basin,Odessa,TX,34.0%,53.0%,6.0%,1.0%,2.0%,1.0%,3.0%,,
Victoria College,Victoria,TX,42.0%,48.0%,6.0%,1.0%,2.0%,,,,
University of Houston-Clear Lake,Houston,TX,,1.0%,36.0%,43.0%,9.0%,3.0%,2.0%,6.0%,
University of Houston-Victoria,Victoria,TX,37.0%,34.0%,16.0%,2.0%,8.0%,,2.0%,,
University of Texas at San Antonio,San Antonio,TX,24.0%,54.0%,9.0%,3.0%,5.0%,,2.0%,,
University of Houston-Downtown,Houston,TX,16.0%,46.0%,21.0%,1.0%,9.0%,1.0%,5.0%,,
Waldorf University,Forest City,IA,63.0%,8.0%,15.0%,1.0%,2.0%,7.0%,3.0%,1.0%,
Wartburg College,Waverly,IA,75.0%,4.0%,5.0%,3.0%,1.0%,3.0%,8.0%,,
Washburn University,Topeka,KS,64.0%,8.0%,6.0%,4.0%,1.0%,14.0%,3.0%,,
Louisiana State University at Eunice,Eunice,LA,67.0%,2.0%,27.0%,2.0%,,1.0%,,,
Century College,White Bear Lake,MN,56.0%,8.0%,10.0%,4.0%,18.0%,,2.0%,,
Macalester College,St. Paul,MN,64.0%,6.0%,3.0%,5.0%,7.0%,,14.0%,,
Manhattan Christian College,Manhattan,KS,79.0%,3.0%,3.0%,1.0%,,11.0%,2.0%,1.0%,
Western Dakota Technical Institute,Rapid City,SD,75.0%,6.0%,2.0%,3.0%,1.0%,,,12.0%,
Hartnell College,Salinas,CA,13.0%,64.0%,2.0%,2.0%,2.0%,15.0%,,,3.0%
Harvey Mudd College,Claremont,CA,36.0%,16.0%,3.0%,10.0%,19.0%,5.0%,11.0%,,
Heritage University,Toppenish,WA,15.0%,69.0%,,2.0%,,2.0%,2.0%,7.0%,
Thomas College,Waterville,ME,75.0%,2.0%,4.0%,9.0%,,6.0%,2.0%,,
University of Massachusetts Lowell,Lowell,MA,64.0%,10.0%,6.0%,3.0%,9.0%,5.0%,3.0%,,
University of Bridgeport,Bridgeport,CT,23.0%,20.0%,34.0%,3.0%,3.0%,,14.0%,1.0%,
University of Connecticut,Storrs,CT,61.0%,9.0%,5.0%,3.0%,10.0%,7.0%,5.0%,,
Houston Community College System,Houston,TX,13.0%,33.0%,28.0%,2.0%,10.0%,2.0%,11.0%,,
Bethel University,St. Paul,MN,72.0%,5.0%,4.0%,3.0%,3.0%,13.0%,,,
Arlington Baptist College,Arlington,TX,58.0%,10.0%,24.0%,,,4.0%,,3.0%,
Bismarck State College,Bismarck,ND,86.0%,3.0%,3.0%,3.0%,,2.0%,,2.0%,
Black Hills State University,Spearfish,SD,82.0%,5.0%,1.0%,4.0%,,1.0%,1.0%,4.0%,
Blinn College,Brenham,TX,61.0%,21.0%,10.0%,3.0%,2.0%,,,,
