University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Gordon College,Wenham,MA,69.0%,7.0%,5.0%,4.0%,5.0%,,9.0%,,
Green Mountain College,Poultney,VT,57.0%,3.0%,5.0%,2.0%,,28.0%,2.0%,1.0%,
Sullivan County Community College,Loch Sheldrake,NY,42.0%,24.0%,24.0%,3.0%,1.0%,4.0%,,,
St. Joseph's College of Nursing,Syracuse,NY,85.0%,2.0%,5.0%,1.0%,6.0%,,,,
Triangle Tech: Pittsburgh,Pittsburgh,PA,62.0%,2.0%,35.0%,1.0%,,,,,
Tompkins Cortland Community College,Dryden,NY,60.0%,11.0%,15.0%,4.0%,1.0%,6.0%,2.0%,,
Temple University,Philadelphia,PA,56.0%,6.0%,13.0%,3.0%,11.0%,4.0%,6.0%,,
Thiel College,Greenville,PA,77.0%,2.0%,9.0%,3.0%,,4.0%,4.0%,,
Ursinus College,Collegeville,PA,74.0%,7.0%,6.0%,4.0%,4.0%,2.0%,2.0%,,
Utica College,Utica,NY,67.0%,10.0%,12.0%,2.0%,3.0%,3.0%,1.0%,,
University of Pittsburgh at Johnstown,Johnstown,PA,87.0%,1.0%,3.0%,2.0%,1.0%,3.0%,2.0%,,
University of Pittsburgh at Bradford,Bradford,PA,73.0%,5.0%,11.0%,2.0%,2.0%,5.0%,2.0%,,
University of Pittsburgh at Greensburg,Greensburg,PA,76.0%,6.0%,6.0%,4.0%,5.0%,3.0%,,,
University of Pittsburgh at Titusville,Titusville,PA,68.0%,4.0%,23.0%,4.0%,1.0%,,,,
Ulster County Community College,Stone Ridge,NY,74.0%,12.0%,6.0%,2.0%,,2.0%,2.0%,,
Valley Forge Military College,Wayne,PA,16.0%,4.0%,17.0%,4.0%,2.0%,56.0%,,,
Bard College,Annandale-on-Hudson,NY,63.0%,1.0%,8.0%,,6.0%,11.0%,10.0%,,
City University of New York: Borough of Manhattan Community College,New York,NY,11.0%,40.0%,30.0%,,12.0%,,6.0%,,
Berkeley College,White Plains,NY,15.0%,23.0%,29.0%,,2.0%,24.0%,7.0%,,
Bucks County Community College,Newtown,PA,61.0%,6.0%,5.0%,3.0%,3.0%,21.0%,,,
Butler County Community College,Butler,PA,84.0%,1.0%,3.0%,1.0%,,9.0%,,,
LIU Post,Brookville,NY,46.0%,14.0%,12.0%,2.0%,4.0%,13.0%,9.0%,,
Cabrini University,Radnor,PA,59.0%,10.0%,20.0%,4.0%,2.0%,5.0%,,,
Rhodes College,Memphis,TN,72.0%,5.0%,8.0%,4.0%,6.0%,2.0%,3.0%,,
Spring Hill College,Mobile,AL,69.0%,3.0%,15.0%,3.0%,1.0%,5.0%,3.0%,,
Benedictine University at Springfield,Springfield,IL,53.0%,2.0%,18.0%,,,22.0%,5.0%,,
City University of New York: New York City College of Technology,Brooklyn,NY,11.0%,34.0%,28.0%,1.0%,20.0%,,5.0%,,
Niagara University,Niagara University,NY,72.0%,4.0%,5.0%,2.0%,1.0%,2.0%,12.0%,,
Nyack College,Nyack,NY,20.0%,32.0%,30.0%,2.0%,7.0%,3.0%,6.0%,,
New York Institute of Technology,Old Westbury,NY,22.0%,14.0%,8.0%,3.0%,16.0%,21.0%,15.0%,,
Fashion Institute of Technology,New York,NY,46.0%,18.0%,9.0%,4.0%,10.0%,,13.0%,,
Genesee Community College,Batavia,NY,73.0%,4.0%,6.0%,2.0%,,10.0%,2.0%,,
Geneva College,Beaver Falls,PA,84.0%,1.0%,9.0%,3.0%,,2.0%,,,
Georgian Court University,Lakewood,NJ,61.0%,11.0%,12.0%,2.0%,3.0%,9.0%,1.0%,,
Ithaca College,Ithaca,NY,72.0%,8.0%,6.0%,3.0%,4.0%,5.0%,2.0%,,
Union College,Schenectady,NY,73.0%,7.0%,4.0%,2.0%,6.0%,,7.0%,,
Union County College,Cranford,NJ,17.0%,35.0%,28.0%,,4.0%,11.0%,2.0%,,
United States Merchant Marine Academy,Kings Point,NY,74.0%,11.0%,3.0%,,8.0%,2.0%,,2.0%,
United States Military Academy,West Point,NY,64.0%,12.0%,11.0%,4.0%,6.0%,1.0%,1.0%,1.0%,
SUNY University at Buffalo,Buffalo,NY,48.0%,7.0%,7.0%,2.0%,14.0%,5.0%,16.0%,,
University of Pennsylvania,Philadelphia,PA,44.0%,10.0%,7.0%,4.0%,20.0%,3.0%,12.0%,,
University of Pittsburgh,Pittsburgh,PA,73.0%,3.0%,5.0%,4.0%,10.0%,1.0%,4.0%,,
Maysville Community and Technical College,Maysville,KY,93.0%,1.0%,3.0%,1.0%,,1.0%,,,
Marion Technical College,Marion,OH,86.0%,2.0%,6.0%,,,4.0%,,,
National-Louis University,Chicago,IL,25.0%,31.0%,36.0%,2.0%,3.0%,2.0%,,,
Spalding University,Louisville,KY,68.0%,4.0%,20.0%,4.0%,2.0%,2.0%,,,
North Central College,Naperville,IL,68.0%,13.0%,4.0%,3.0%,3.0%,6.0%,2.0%,,
North Park University,Chicago,IL,50.0%,20.0%,9.0%,4.0%,6.0%,4.0%,5.0%,,1.0%
University of Scranton,Scranton,PA,81.0%,9.0%,2.0%,2.0%,3.0%,2.0%,,,
Lewis & Clark College,Portland,OR,66.0%,11.0%,2.0%,3.0%,6.0%,5.0%,5.0%,1.0%,
Lewis-Clark State College,Lewiston,ID,83.0%,3.0%,1.0%,3.0%,1.0%,3.0%,2.0%,3.0%,
Linfield College,McMinnville,OR,60.0%,14.0%,2.0%,12.0%,5.0%,3.0%,3.0%,,
California State University: Long Beach,Long Beach,CA,18.0%,40.0%,4.0%,5.0%,22.0%,3.0%,7.0%,,
Otis College of Art and Design,Los Angeles,CA,24.0%,10.0%,4.0%,6.0%,29.0%,4.0%,22.0%,1.0%,
California State University: Los Angeles,Los Angeles,CA,7.0%,63.0%,4.0%,2.0%,15.0%,3.0%,6.0%,,
Sterling College,Craftsbury Common,VT,83.0%,2.0%,4.0%,2.0%,,6.0%,3.0%,,
Fashion Institute of Design and Merchandising: Los Angeles,Los Angeles,CA,36.0%,21.0%,6.0%,3.0%,11.0%,6.0%,15.0%,,1.0%
Marylhurst University,Marylhurst,OR,70.0%,7.0%,3.0%,3.0%,3.0%,11.0%,3.0%,,
Menlo College,Atherton,CA,26.0%,23.0%,6.0%,9.0%,10.0%,10.0%,14.0%,,2.0%
Colorado Mesa University,Grand Junction,CO,69.0%,18.0%,2.0%,4.0%,2.0%,2.0%,,,
Mills College,Oakland,CA,45.0%,27.0%,9.0%,8.0%,9.0%,,,,
Modesto Junior College,Modesto,CA,38.0%,48.0%,4.0%,1.0%,4.0%,3.0%,,,1.0%
Montana Tech of the University of Montana,Butte,MT,77.0%,2.0%,,,,6.0%,11.0%,2.0%,
St. Francis University,Loretto,PA,79.0%,2.0%,6.0%,1.0%,,6.0%,5.0%,,
St. John Fisher College,Rochester,NY,84.0%,4.0%,4.0%,2.0%,4.0%,2.0%,,,
Saint Joseph's University,Philadelphia,PA,79.0%,6.0%,6.0%,2.0%,3.0%,2.0%,2.0%,,
"St. Joseph's College, New York",Brooklyn,NY,39.0%,20.0%,24.0%,2.0%,7.0%,9.0%,,,
San Diego Christian College,Santee,CA,45.0%,26.0%,11.0%,6.0%,2.0%,7.0%,1.0%,,2.0%
Stone Child College,Box Elder,MT,5.0%,,,,,5.0%,,88.0%,
Illinois Eastern Community Colleges: Lincoln Trail College,Robinson,IL,92.0%,1.0%,4.0%,,2.0%,,,,
Kettering University,Flint,MI,76.0%,5.0%,3.0%,3.0%,4.0%,6.0%,4.0%,,
Georgetown College,Georgetown,KY,78.0%,,9.0%,4.0%,,7.0%,,,
Gogebic Community College,Ironwood,MI,88.0%,2.0%,3.0%,2.0%,,2.0%,,3.0%,
Goshen College,Goshen,IN,64.0%,18.0%,4.0%,2.0%,2.0%,,9.0%,,
Ivy Tech Community College: Southwest,Evansville,IN,82.0%,1.0%,9.0%,3.0%,1.0%,3.0%,,,
Ivy Tech Community College: Northeast,Fort Wayne,IN,72.0%,5.0%,12.0%,4.0%,3.0%,5.0%,,,
Ivy Tech Community College: East Central,Muncie,IN,82.0%,2.0%,8.0%,4.0%,,3.0%,,,
Ivy Tech Community College: North Central,South Bend,IN,64.0%,12.0%,15.0%,4.0%,2.0%,2.0%,,,
Ivy Tech Community College: Northwest,Gary,IN,58.0%,10.0%,23.0%,4.0%,,4.0%,,,
Ivy Tech Community College: Lafayette,Lafayette,IN,78.0%,7.0%,6.0%,3.0%,2.0%,4.0%,,,
Ivy Tech Community College: Richmond,Richmond,IN,87.0%,1.0%,6.0%,2.0%,,2.0%,,,
Ivy Tech Community College: Wabash Valley,Terre Haute,IN,89.0%,,5.0%,3.0%,,2.0%,,,
Ivy Tech Community College: Columbus,Columbus,IN,86.0%,3.0%,2.0%,2.0%,2.0%,4.0%,,,
Hanover College,Hanover,IN,81.0%,3.0%,5.0%,1.0%,1.0%,4.0%,4.0%,,
Heidelberg University,Tiffin,OH,76.0%,2.0%,7.0%,4.0%,1.0%,9.0%,,,
Henry Ford College,Dearborn,MI,53.0%,3.0%,20.0%,3.0%,2.0%,16.0%,2.0%,,
Hillsdale College,Hillsdale,MI,,,,,,100.0%,,,
Indiana University Southeast,New Albany,IN,84.0%,3.0%,7.0%,3.0%,1.0%,,,,
Illinois College,Jacksonville,IL,69.0%,9.0%,12.0%,4.0%,1.0%,,4.0%,,
Illinois Institute of Technology,Chicago,IL,35.0%,17.0%,6.0%,3.0%,14.0%,4.0%,22.0%,,
Illinois State University,Normal,IL,76.0%,10.0%,8.0%,3.0%,2.0%,,,,
Illinois Wesleyan University,Bloomington,IL,71.0%,7.0%,4.0%,3.0%,4.0%,2.0%,9.0%,,
University of Indianapolis,Indianapolis,IN,70.0%,4.0%,9.0%,3.0%,1.0%,3.0%,9.0%,,
Indiana State University,Terre Haute,IN,65.0%,4.0%,19.0%,4.0%,1.0%,,6.0%,,
Indiana Institute of Technology,Fort Wayne,IN,43.0%,4.0%,34.0%,2.0%,,15.0%,,,
Brescia University,Owensboro,KY,65.0%,6.0%,14.0%,,,10.0%,2.0%,,
Butler University,Indianapolis,IN,82.0%,4.0%,4.0%,3.0%,3.0%,3.0%,,,
Bethel College,Mishawaka,IN,73.0%,7.0%,11.0%,5.0%,2.0%,,1.0%,,
Concordia University Wisconsin,Mequon,WI,73.0%,2.0%,15.0%,3.0%,2.0%,2.0%,2.0%,,
Chatfield College,Fayetteville,OH,33.0%,,62.0%,,,3.0%,,,
University of the Cumberlands,Williamsburg,KY,77.0%,2.0%,5.0%,2.0%,,9.0%,4.0%,,
Columbus State Community College,Columbus,OH,61.0%,5.0%,21.0%,4.0%,3.0%,4.0%,1.0%,,
Cedarville University,Cedarville,OH,87.0%,3.0%,1.0%,3.0%,2.0%,1.0%,2.0%,,
Cleveland Institute of Art,Cleveland,OH,69.0%,5.0%,9.0%,3.0%,4.0%,,9.0%,,
Spoon River College,Canton,IL,86.0%,3.0%,9.0%,,,,,,
Dyersburg State Community College,Dyersburg,TN,73.0%,3.0%,19.0%,2.0%,1.0%,1.0%,,,
Edison State Community College,Piqua,OH,88.0%,2.0%,5.0%,,2.0%,3.0%,,,
Indiana University East,Richmond,IN,86.0%,3.0%,4.0%,3.0%,,1.0%,,,
Earlham College,Richmond,IN,50.0%,7.0%,12.0%,,6.0%,2.0%,23.0%,,
East Central Community College,Decatur,MS,56.0%,2.0%,34.0%,,,2.0%,,5.0%,
East Tennessee State University,Johnson City,TN,82.0%,2.0%,6.0%,3.0%,1.0%,1.0%,4.0%,,
Eastern Illinois University,Charleston,IL,67.0%,7.0%,19.0%,2.0%,,2.0%,2.0%,,
Eastern Kentucky University,Richmond,KY,84.0%,2.0%,6.0%,2.0%,,3.0%,2.0%,,
Eastern Michigan University,Ypsilanti,MI,64.0%,5.0%,19.0%,4.0%,3.0%,2.0%,2.0%,,
Edgewood College,Madison,WI,79.0%,6.0%,3.0%,3.0%,3.0%,3.0%,4.0%,,
Elgin Community College,Elgin,IL,47.0%,36.0%,5.0%,,7.0%,3.0%,,,
Elmhurst College,Elmhurst,IL,64.0%,19.0%,6.0%,3.0%,6.0%,2.0%,,,
Eureka College,Eureka,IL,85.0%,3.0%,5.0%,3.0%,,2.0%,1.0%,,
Adrian College,Adrian,MI,70.0%,6.0%,7.0%,4.0%,,12.0%,,,
Art Academy of Cincinnati,Cincinnati,OH,84.0%,4.0%,6.0%,,1.0%,,,1.0%,
University of Montevallo,Montevallo,AL,71.0%,4.0%,15.0%,3.0%,,4.0%,1.0%,,
Auburn University,Auburn,AL,83.0%,3.0%,7.0%,1.0%,3.0%,,2.0%,,
Alabama State University,Montgomery,AL,1.0%,1.0%,93.0%,1.0%,,,2.0%,,
Albion College,Albion,MI,71.0%,7.0%,9.0%,3.0%,3.0%,6.0%,2.0%,,
Alice Lloyd College,Pippa Passes,KY,98.0%,,,,,,,,
Capital University,Columbus,OH,75.0%,4.0%,10.0%,5.0%,1.0%,3.0%,2.0%,,
Cardinal Stritch University,Milwaukee,WI,54.0%,11.0%,21.0%,3.0%,2.0%,2.0%,6.0%,,
Carroll University,Waukesha,WI,80.0%,7.0%,2.0%,3.0%,4.0%,1.0%,3.0%,,
Carson-Newman University,Jefferson City,TN,82.0%,3.0%,8.0%,2.0%,,,3.0%,,
Carthage College,Kenosha,WI,70.0%,6.0%,5.0%,3.0%,2.0%,13.0%,,,
Case Western Reserve University,Cleveland,OH,50.0%,6.0%,4.0%,5.0%,20.0%,2.0%,12.0%,,
Central Michigan University,Mount Pleasant,MI,78.0%,4.0%,9.0%,4.0%,1.0%,2.0%,2.0%,,
Central State University,Wilberforce,OH,1.0%,,94.0%,1.0%,,2.0%,,,
Hilbert College,Hamburg,NY,75.0%,4.0%,7.0%,7.0%,,6.0%,,1.0%,
Jamestown Community College,Jamestown,NY,82.0%,7.0%,4.0%,3.0%,,,,1.0%,
Jewish Theological Seminary of America,New York,NY,94.0%,1.0%,,,,1.0%,3.0%,,
Juilliard School,New York,NY,43.0%,6.0%,5.0%,6.0%,13.0%,2.0%,26.0%,,
LIU Brooklyn,Brooklyn,NY,20.0%,15.0%,28.0%,2.0%,16.0%,16.0%,3.0%,,
Lycoming College,Williamsport,PA,67.0%,9.0%,10.0%,3.0%,,5.0%,5.0%,,
Lackawanna College,Scranton,PA,63.0%,9.0%,20.0%,2.0%,2.0%,4.0%,,,
La Roche College,Pittsburgh,PA,60.0%,3.0%,10.0%,2.0%,1.0%,8.0%,16.0%,,
LIM College,New York,NY,54.0%,10.0%,15.0%,2.0%,7.0%,6.0%,6.0%,,
Lehigh Carbon Community College,Schnecksville,PA,60.0%,20.0%,6.0%,4.0%,2.0%,7.0%,,,
Luzerne County Community College,Nanticoke,PA,68.0%,13.0%,5.0%,2.0%,2.0%,10.0%,,,
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",Piscataway,NJ,40.0%,13.0%,8.0%,3.0%,26.0%,2.0%,8.0%,,
Rowan College at Burlington County,Mt. Laurel,NJ,56.0%,10.0%,19.0%,3.0%,4.0%,4.0%,3.0%,,
Dickinson College,Carlisle,PA,69.0%,7.0%,5.0%,4.0%,3.0%,1.0%,10.0%,,
Everglades University,Boca Raton,FL,56.0%,17.0%,17.0%,3.0%,1.0%,5.0%,,1.0%,
Dominican College of Blauvelt,Orangeburg,NY,35.0%,30.0%,16.0%,3.0%,6.0%,9.0%,1.0%,,
Drew University,Madison,NJ,55.0%,11.0%,9.0%,5.0%,6.0%,7.0%,8.0%,,
Drexel University,Philadelphia,PA,53.0%,6.0%,7.0%,3.0%,15.0%,3.0%,13.0%,,
Duquesne University,Pittsburgh,PA,80.0%,3.0%,5.0%,3.0%,3.0%,1.0%,4.0%,,
Erie Community College: North,Williamsville,NY,79.0%,3.0%,13.0%,,3.0%,,1.0%,,
Essex County College,Newark,NJ,8.0%,25.0%,50.0%,,3.0%,5.0%,8.0%,,
City University of New York: LaGuardia Community College,Long Island City,NY,10.0%,46.0%,18.0%,,16.0%,5.0%,4.0%,,
Rocky Mountain College of Art & Design,Denver,CO,62.0%,10.0%,5.0%,2.0%,3.0%,16.0%,,1.0%,
Waukesha County Technical College,Pewaukee,WI,76.0%,8.0%,9.0%,2.0%,2.0%,2.0%,,,
California State University: Monterey Bay,Seaside,CA,31.0%,38.0%,7.0%,7.0%,6.0%,4.0%,5.0%,,
Wright State University: Lake Campus,Celina,OH,92.0%,2.0%,3.0%,1.0%,,,1.0%,,
Albany College of Pharmacy and Health Sciences,Albany,NY,65.0%,4.0%,4.0%,2.0%,15.0%,4.0%,6.0%,,
Adirondack Community College,Queensbury,NY,88.0%,4.0%,4.0%,2.0%,,,,,
DeSales University,Center Valley,PA,73.0%,12.0%,4.0%,3.0%,2.0%,5.0%,,,
Helena College University of Montana,Helena,MT,86.0%,2.0%,,1.0%,1.0%,5.0%,,4.0%,
Central New Mexico Community College,Albuquerque,NM,28.0%,51.0%,3.0%,2.0%,2.0%,7.0%,,7.0%,
City University of New York: Baruch College,New York,NY,23.0%,22.0%,9.0%,2.0%,32.0%,,11.0%,,
Carolinas College of Health Sciences,Charlotte,NC,75.0%,2.0%,9.0%,3.0%,3.0%,7.0%,,,
Sauk Valley Community College,Dixon,IL,82.0%,10.0%,4.0%,,1.0%,2.0%,,,
Southwestern Michigan College,Dowagiac,MI,72.0%,7.0%,10.0%,4.0%,,3.0%,,2.0%,
University of Illinois: Springfield,Springfield,IL,64.0%,8.0%,15.0%,3.0%,4.0%,2.0%,5.0%,,
Shawnee State University,Portsmouth,OH,86.0%,,6.0%,2.0%,,3.0%,1.0%,,
Pellissippi State Community College,Knoxville,TN,83.0%,4.0%,7.0%,3.0%,2.0%,,1.0%,,
Troy State University in Montgomery,Montgomery,AL,41.0%,,57.0%,,1.0%,,,,
University of Hawaii: Hawaii Community College,Hilo,HI,15.0%,14.0%,,13.0%,14.0%,,1.0%,,40.0%
Taylor University,Upland,IN,83.0%,4.0%,3.0%,,3.0%,,6.0%,1.0%,
Tennessee State University,Nashville,TN,12.0%,1.0%,72.0%,2.0%,,,11.0%,,
Triton College,River Grove,IL,29.0%,41.0%,14.0%,1.0%,2.0%,13.0%,,,
University of Akron: Wayne College,Orrville,OH,88.0%,1.0%,4.0%,2.0%,,3.0%,,,
Troy State University Dothan,Dothan,AL,72.0%,2.0%,23.0%,,1.0%,,,1.0%,
Union College,Barbourville,KY,72.0%,2.0%,12.0%,5.0%,,,8.0%,,
University of Akron,Akron,OH,75.0%,3.0%,12.0%,4.0%,2.0%,2.0%,2.0%,,
University of Alabama,Tuscaloosa,AL,78.0%,4.0%,10.0%,3.0%,1.0%,,2.0%,,
University of Tennessee: Chattanooga,Chattanooga,TN,77.0%,4.0%,11.0%,5.0%,2.0%,,,,
University of Chicago,Chicago,IL,44.0%,11.0%,5.0%,4.0%,18.0%,6.0%,12.0%,,
Keiser University Flagship Campus,West Palm Beach,FL,16.0%,13.0%,9.0%,1.0%,,29.0%,31.0%,,
Wallace State Community College at Hanceville,Hanceville,AL,84.0%,4.0%,6.0%,,,2.0%,1.0%,,
Grantham University,Lenexa,KS,26.0%,4.0%,39.0%,2.0%,,27.0%,,,
Morehead State University,Morehead,KY,88.0%,2.0%,4.0%,2.0%,,,3.0%,,
Morton College,Cicero,IL,8.0%,84.0%,3.0%,,1.0%,4.0%,,,
Mount Mary University,Milwaukee,WI,52.0%,16.0%,17.0%,4.0%,8.0%,,2.0%,,
University of Mount Union,Alliance,OH,79.0%,3.0%,7.0%,3.0%,,6.0%,,,
Murray State University,Murray,KY,81.0%,2.0%,7.0%,2.0%,,2.0%,4.0%,,
Muskegon Community College,Muskegon,MI,77.0%,4.0%,9.0%,4.0%,,4.0%,,,
Muskingum University,New Concord,OH,79.0%,2.0%,5.0%,4.0%,,5.0%,4.0%,,
Oakland University,Rochester,MI,75.0%,3.0%,8.0%,3.0%,5.0%,4.0%,2.0%,,
Memphis College of Art,Memphis,TN,57.0%,6.0%,29.0%,3.0%,1.0%,2.0%,,,
Kent State University: Salem,Salem,OH,89.0%,2.0%,4.0%,2.0%,,2.0%,,,
Highland Community College,Freeport,IL,81.0%,3.0%,7.0%,3.0%,1.0%,2.0%,,2.0%,
Northwest State Community College,Archbold,OH,84.0%,9.0%,1.0%,1.0%,,4.0%,,,
Mid-Continent University,Mayfield,KY,80.0%,2.0%,14.0%,1.0%,,2.0%,,,
Blessing-Rieman College of Nursing & Health Sciences,Quincy,IL,94.0%,1.0%,3.0%,,2.0%,,,,
Kaskaskia College,Centralia,IL,91.0%,,4.0%,2.0%,1.0%,,,,
Centre College,Danville,KY,76.0%,4.0%,5.0%,3.0%,5.0%,,7.0%,,
Chicago State University,Chicago,IL,2.0%,7.0%,74.0%,,,12.0%,4.0%,,
Alma College,Alma,MI,78.0%,5.0%,4.0%,2.0%,1.0%,8.0%,1.0%,,
Alverno College,Milwaukee,WI,53.0%,23.0%,13.0%,4.0%,5.0%,,,,
American Academy of Art,Chicago,IL,51.0%,33.0%,7.0%,3.0%,5.0%,,,,
Ancilla College,Donaldson,IN,65.0%,10.0%,13.0%,11.0%,,,,,
Anderson University,Anderson,IN,80.0%,2.0%,6.0%,3.0%,,4.0%,3.0%,,
Antioch College,Yellow Springs,OH,85.0%,5.0%,6.0%,,1.0%,,,2.0%,
Aquinas College,Grand Rapids,MI,79.0%,6.0%,3.0%,2.0%,1.0%,6.0%,2.0%,,
Asbury University,Wilmore,KY,82.0%,4.0%,4.0%,,1.0%,6.0%,3.0%,,
Ashland University,Ashland,OH,76.0%,3.0%,13.0%,2.0%,,3.0%,2.0%,,
Antioch University Midwest,Yellow Springs,OH,65.0%,,25.0%,,,7.0%,,3.0%,
SUNY College at Oswego,Oswego,NY,72.0%,11.0%,8.0%,3.0%,3.0%,,2.0%,,
SUNY College at Plattsburgh,Plattsburgh,NY,66.0%,11.0%,8.0%,2.0%,2.0%,4.0%,6.0%,,
SUNY College at Potsdam,Potsdam,NY,62.0%,14.0%,11.0%,3.0%,2.0%,5.0%,,2.0%,
Johnson University,Knoxville,TN,87.0%,2.0%,3.0%,1.0%,,2.0%,3.0%,,
Judson College,Marion,AL,76.0%,1.0%,15.0%,,,4.0%,1.0%,,
Judson University,Elgin,IL,54.0%,17.0%,10.0%,2.0%,2.0%,11.0%,4.0%,,
Jefferson State Community College,Birmingham,AL,69.0%,4.0%,22.0%,3.0%,2.0%,,,,
Mississippi Gulf Coast Community College: Jackson County Campus,Gautier,MS,,,,,,,100.0%,,
Kentucky Christian University,Grayson,KY,68.0%,1.0%,10.0%,,,18.0%,2.0%,,
Kalamazoo Valley Community College,Kalamazoo,MI,72.0%,5.0%,14.0%,3.0%,2.0%,2.0%,1.0%,,
Kankakee Community College,Kankakee,IL,66.0%,15.0%,14.0%,2.0%,,2.0%,,,
Bradley University,Peoria,IL,57.0%,7.0%,5.0%,2.0%,3.0%,25.0%,1.0%,,
University of Findlay,Findlay,OH,81.0%,2.0%,4.0%,3.0%,1.0%,,9.0%,,
Fisk University,Nashville,TN,,1.0%,87.0%,1.0%,,9.0%,,,
Mott Community College,Flint,MI,69.0%,5.0%,17.0%,4.0%,,3.0%,,,
Franklin College,Franklin,IN,84.0%,3.0%,5.0%,4.0%,1.0%,2.0%,1.0%,,
Franklin University,Columbus,OH,66.0%,3.0%,19.0%,4.0%,2.0%,4.0%,1.0%,,
Freed-Hardeman University,Henderson,TN,85.0%,2.0%,5.0%,2.0%,,3.0%,2.0%,,
Welch College,Nashville,TN,84.0%,4.0%,8.0%,2.0%,2.0%,,,,
Dakota County Technical College,Rosemount,MN,76.0%,6.0%,10.0%,,5.0%,1.0%,,,
Ner Israel Rabbinical College,Baltimore,MD,48.0%,,,,,48.0%,4.0%,,
Aurora University,Aurora,IL,54.0%,27.0%,8.0%,3.0%,2.0%,5.0%,,,
Austin Peay State University,Clarksville,TN,61.0%,7.0%,21.0%,6.0%,2.0%,2.0%,,,
Bellarmine University,Louisville,KY,82.0%,3.0%,4.0%,3.0%,2.0%,4.0%,,,
Southwestern Illinois College,Belleville,IL,67.0%,4.0%,23.0%,,2.0%,4.0%,,,
Belmont University,Nashville,TN,80.0%,5.0%,5.0%,4.0%,2.0%,3.0%,,,
Beloit College,Beloit,WI,62.0%,9.0%,5.0%,3.0%,3.0%,4.0%,13.0%,,
Berea College,Berea,KY,59.0%,9.0%,15.0%,6.0%,2.0%,,8.0%,,
Bethel University,McKenzie,TN,52.0%,2.0%,40.0%,1.0%,,4.0%,2.0%,,
Birmingham-Southern College,Birmingham,AL,79.0%,2.0%,12.0%,1.0%,5.0%,,,,
Blackburn College,Carlinville,IL,77.0%,3.0%,12.0%,4.0%,,2.0%,1.0%,,
Blue Mountain College,Blue Mountain,MS,84.0%,2.0%,10.0%,1.0%,,,2.0%,,
Missouri State University: West Plains,West Plains,MO,85.0%,3.0%,3.0%,,1.0%,7.0%,,1.0%,
J. F. Drake State Technical College,Huntsville,AL,34.0%,1.0%,64.0%,,,,,,
Reid State Technical College,Evergreen,AL,43.0%,,54.0%,,,,,1.0%,
St. Paul College,Saint Paul,MN,38.0%,8.0%,29.0%,6.0%,16.0%,3.0%,,,
Little Big Horn College,Crow Agency,MT,2.0%,,,,,,1.0%,96.0%,
Magnolia Bible College,Kosciusko,MS,74.0%,,26.0%,,,,,,
Oakland City University,Oakland City,IN,70.0%,3.0%,7.0%,1.0%,,14.0%,4.0%,,
Oakwood University,Huntsville,AL,1.0%,2.0%,85.0%,,,3.0%,8.0%,,
Oberlin College,Oberlin,OH,66.0%,8.0%,5.0%,7.0%,4.0%,,9.0%,,
Ohio State University: Newark Campus,Newark,OH,70.0%,3.0%,16.0%,4.0%,4.0%,3.0%,,,
Ohio Northern University,Ada,OH,84.0%,,4.0%,3.0%,1.0%,3.0%,4.0%,,
Ohio State University: Columbus Campus,Columbus,OH,69.0%,4.0%,5.0%,3.0%,6.0%,4.0%,8.0%,,
Ohio University,Athens,OH,84.0%,3.0%,5.0%,3.0%,,1.0%,2.0%,,
Ohio Wesleyan University,Delaware,OH,70.0%,5.0%,9.0%,5.0%,3.0%,3.0%,6.0%,,
Olivet Nazarene University,Bourbonnais,IL,79.0%,7.0%,8.0%,2.0%,2.0%,,1.0%,,
Otterbein University,Westerville,OH,78.0%,2.0%,6.0%,5.0%,2.0%,5.0%,,,
Indiana University South Bend,South Bend,IN,73.0%,10.0%,8.0%,4.0%,1.0%,,3.0%,,
Jackson State University,Jackson,MS,4.0%,,92.0%,1.0%,,,2.0%,,
John Carroll University,University Heights,OH,84.0%,4.0%,4.0%,2.0%,2.0%,1.0%,2.0%,,
Bastyr University,Kenmore,WA,70.0%,5.0%,3.0%,4.0%,9.0%,3.0%,1.0%,4.0%,2.0%
Thaddeus Stevens College of Technology,Lancaster,PA,73.0%,10.0%,11.0%,4.0%,2.0%,,,,
Marquette University,Milwaukee,WI,71.0%,11.0%,4.0%,4.0%,6.0%,,4.0%,,
IBMC College: Fort Collins,Fort Collins,CO,67.0%,30.0%,2.0%,,,,,,
Rich Mountain Community College,Mena,AR,84.0%,6.0%,,3.0%,,2.0%,,4.0%,
Radford University,Radford,VA,69.0%,7.0%,15.0%,5.0%,1.0%,,,,
Salisbury University,Salisbury,MD,70.0%,4.0%,14.0%,3.0%,3.0%,3.0%,2.0%,,
SUNY University at Stony Brook,Stony Brook,NY,35.0%,12.0%,7.0%,2.0%,24.0%,6.0%,14.0%,,
Harrison College: Indianapolis East,Indianapolis,IN,66.0%,1.0%,21.0%,1.0%,,9.0%,,,
Lake Washington Institute of Technology,Kirkland,WA,55.0%,10.0%,3.0%,,15.0%,14.0%,2.0%,,
Maryville College,Maryville,TN,75.0%,4.0%,12.0%,5.0%,1.0%,,3.0%,,
