University,services,website
Spartan College of Aeronautics and Technology,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.spartan.edu 
Northeast Iowa Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling; Placement services for graduates; Economically disadvantaged students services; Adult (re-entering) student services/programs,www.nicc.edu 
Arkansas Baptist College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.arkansasbaptist.edu 
AIB College of Business,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Alcohol/substance abuse counseling; Financial aid counseling,www.aib.edu 
Austin Community College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Placement services for graduates; Veteran's counselor,www.austincc.edu 
Trinity Bible College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.trinitybiblecollege.edu 
West Virginia Northern Community College,Career counseling; Employment services for undergraduates; Placement services for graduates; Veteran's counselor; Adult (re-entering) student services/programs; Financial aid counseling,www.wvncc.edu 
Wor-Wic Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor; On-campus daycare,www.worwic.edu 
Three Rivers Community College,Career counseling; Employment services for undergraduates; Placement services for graduates; Veteran's counselor,www.trcc.edu 
Texas A&M International University,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Women's services,www.tamiu.edu 
Tulsa Community College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.tulsacc.edu 
Texas State Technical College: Harlingen,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services,www.tstc.edu/ 
Texas A&M University-Corpus Christi,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor,www.tamucc.edu 
University of Texas at Tyler,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Health services,www.uttyler.edu 
Texas Tech University Health Sciences Center,,www.ttuhsc.edu 
Union College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates,www.ucollege.edu 
University of Arkansas,Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Economically disadvantaged students services; Women's services; On-campus daycare; Legal services,www.uark.edu 
University of Dallas,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Alcohol/substance abuse counseling; Veteran's counselor,www.udallas.edu 
University of Dubuque,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; On-campus daycare; Chaplain/spiritual director,www.dbq.edu 
University of Houston,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Minority students services; Alcohol/substance abuse counseling,www.uh.edu 
International Academy of Design and Technology: Orlando,,www.iadt.edu 
University of Houston: College of Pharmacy,,www.uh.edu/pharmacy 
University of Kansas,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services,www.ku.edu 
University of Texas Health Sciences Center-Dental Branch,,
University of Missouri: St. Louis,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services; Veteran's counselor,www.umsl.edu 
University of Minnesota: Morris,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Alcohol/substance abuse counseling,www.morris.umn.edu 
University of Minnesota: Crookston,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Women's services; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Adult (re-entering) student services/programs,www.crk.umn.edu 
United Theological Seminary of the Twin Cities,,
University of Kansas Medical Center,Chaplain/spiritual director; Financial aid counseling; Health services; Legal services; Personal counseling; Career counseling,www.kumc.edu 
University of Nebraska Medical Center,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Veteran's counselor; Economically disadvantaged students services,www.unmc.edu 
Morningside College,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Minority students services; Chaplain/spiritual director,www.morningside.edu 
Mount Marty College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.mtmc.edu 
Mount Mercy University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Minority students services,www.mtmercy.edu 
Ashford University,Career counseling; Employment services for undergraduates; Financial aid counseling; Adult (re-entering) student services/programs,www.ashford.edu 
Mayo Graduate School,,
Goodwin College,Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling,www.goodwin.edu 
University of Nebraska - Omaha,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling; Minority students services,www.unomaha.edu 
Murray State College,Career counseling; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling,www.mscok.edu 
Midland College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Veteran's counselor; Financial aid counseling,www.midland.edu 
Cankdeska Cikana Community College,Career counseling; On-campus daycare; Personal counseling; Financial aid counseling,www.littlehoop.edu 
National American University: Rapid City,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.national.edu 
Navarro College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor,www.navarrocollege.edu 
Chadron State College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling,www.csc.edu 
University of Nebraska - Kearney,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Minority students services; On-campus daycare; Women's services,www.unk.edu 
