School ID,University,State,City,Enrollment (Undergrad),Male Enrollment,Female Enrollment,Native Hawaiian/Pacific Islander,American Indian/Alaskan Native,Multi-race (not Hispanic/Latino),Asian,White,Black/African-American,International,Hispanic/Latino,Unknown
000126,Arcadia University,PA,Glenside,2640,824,1816,0.2,0.1,4.2,5.3,68.3,10.2,3.1,8.2,3.7
000127,Swarthmore College,PA,Swarthmore,1581,783,798,0.1,0.1,8.5,19.1,47.5,6.7,10.8,14.5,3.5
000128,Bennington College,VT,Bennington,704,249,455,0.2,1.1,5.4,2.8,75.0,1.8,12.5,7.1,6.7
000129,University of Maine at Farmington,ME,Farmington,1795,623,1172,0.1,0.7,2.1,0.8,87.2,1.9,0.2,1.7,5.6
000130,Syracuse University,NY,Syracuse,15196,6873,8323,0.1,0.8,3.2,8.7,63.0,9.2,12.1,11.7,3.4
000131,University of Maine at Fort Kent,ME,Fort Kent,1559,488,1071,0.2,0.9,1.7,0.6,58.9,3.0,6.9,1.2,33.6
000132,Bentley University,MA,Waltham,4203,2499,1704,0.0,0.0,2.3,9.5,72.4,3.6,14.2,8.4,3.8
000133,Thomas College,ME,Waterville,1212,582,630,0.0,0.8,6.3,0.8,74.1,3.0,1.7,1.8,13.3
000134,Berklee College of Music,MA,Boston,5112,3439,1673,0.7,0.2,8.0,5.9,53.8,7.6,33.2,12.6,11.2
000135,Bloomfield College,NJ,Bloomfield,1978,717,1261,0.5,0.4,0.8,3.0,10.1,52.3,4.2,27.3,5.6
000136,Bloomsburg University of Pennsylvania,PA,Bloomsburg,9158,3956,5202,0.1,0.1,2.6,1.0,80.2,8.8,0.6,6.0,1.2
000137,Temple University,PA,Philadelphia,28609,13971,14638,0.1,0.1,3.2,11.3,59.2,13.9,6.7,6.5,5.7
000138,Bowdoin College,ME,Brunswick,1799,904,895,0.0,0.4,6.8,7.3,66.0,5.7,5.0,13.1,0.7
000139,University of Maine at Machias,ME,Machias,786,258,528,0.0,4.3,2.0,0.4,78.2,4.3,1.1,5.2,5.6
000140,Boricua College,NY,New York,1004,208,796,,,,,,,,,
000141,University of Maine at Presque Isle,ME,Presque Isle,1289,461,828,0.0,2.3,2.1,0.2,68.4,1.8,5.2,1.5,23.6
